Headword,Headword_Data,Definitions,Occurrences in the Aeneid
"effundō, fūdī, fūsus, 3, a.","effundo, fudi, fusus, 3, a.","to pour out or forth; shed, 2.271; throw, cast out, 7.780; cast, 6.339; overthrow, 11.485; bring out, 9.68; unbind, dishevel, 4.509; dissolve, 2.651; let loose, throw out, 5.818; spend, lose, waste, 5.446; of words, utter, 5.780; (pass.), effundī, dart, 5.145; flow, 6.686. (ex and fundō)",35
"effūsus, a, um","effusus, a, um","poured forth; overflowing; thronging, 12.131. (effundō)",2
"ēgelidus, a, um","egelidus, a, um","chilly, cold",1
"egēns, entis","egens, entis","destitute, needy, necessitous, helpless, 4.373. (egeō)",3
"egēnus, a, um","egenus, a, um","adj. (egeō), needy; in want, destitute, 1.599; distressed, straitened, imperiled, desperate, 10.367.",4
"egeō, uī, 2, n.","egeo, ui, 2, n.","to be in want or need; (w. abl. or gen.), to want, need, 2.522; to be poor, destitute, 1.384; to feel the need of, be desirous of, 5.751.",6
"ēgeria, ae, f.","egeria, ae, f.","a nymph of Roman mythology, instructress of Numa, 7.763.",2
"egestās, ātis, f.","egestas, atis, f.","poverty, destitution, penury, need, want; personified, 6.276. (egeō)",1
"ego, meī, pers. pron.; pl., nōs, nostrī or nostrum","ego, mei, pers. pron.; pl., nos, nostri or nostrum","I, me, etc.; (abl. with cum appended), mēcum, with me, 1.675, et al.; (pl. often for the sing.), I, me, etc.",389
"ēgredior, gressus sum, 3, dep. n.","egredior, gressus sum, 3, dep. n.","to step or walk forth; go out, 2.713; to disembark, land, 1.172. (ex and gradior)",7
"ēgregius, a, um","egregius, a, um","adj. (ē and grex), apart from the herd; excellent, distinguished, 7.473; famous, renowned, 1.445; noble, 6.523; w. gen., 11.417.",22
ei (monosyll.),ei (monosyll.),"(interj. expressive of grief), ah! alas! woe is me! 2.274, et al.",3
hēia,heia,"(interj.), up! come on! away! 4.569.",2
"ēiciō, iēcī, iectus, 3, a.","eicio, ieci, iectus, 3, a.","to cast out, forth, away; p., ēiectus, a, um, cast ashore, 1.578; banished, 8.646; stretched out at full length, thrust forth, 10.894. (ex and iaciō)",4
"ēiectō, āvī, ātus, 1, a.","eiecto, avi, atus, 1, a.","to cast forth; vomit, 5.470. (ex and iactō)",1
"ēlābor, lāpsus sum, 3, dep. n.","elabor, lapsus sum, 3, dep. n.","to slip or glide forth or away; escape from, 1.242; spring aside, dodge, 5.445.",8
"ēlectra, ae, f.","electra, ae, f.","one of the Pleiades (daughters of Atlas), and mother of Dardanus, 8.135.",2
"ēlectrum, ī, n.","electrum, i, n.","amber; a mixed metal of the color of amber, 8.402.",2
"elephantus, ī, m.","elephantus, i, m.","an elephant; (meton.), ivory, 3.464.",2
"ēlīdō, līsī, līsus, 3, a.","elido, lisi, lisus, 3, a.","to dash forth, out, up, 3.567; suffocate, strangle, 8.289; force out, cause to start out, 8.261. (ex and laedō)",3
"ēligō, lēgī, lēctus, 3, a.","eligo, legi, lectus, 3, a.","to select, choose, 7.274. (ē and legō)",1
"ēlis, idis, f.","elis, idis, f.","Elis, one of the countries of the Peloponnesus, west of Arcadia, 3.694.",2
"Elissa ae, f.","Elissa ae, f.","another name for Dido, 4.335.",3
"ēloquium, iī, n.","eloquium, ii, n.","eloquence; rant, 11.383. (ēloquor)",1
"ēloquor, locūtus sum, 3, dep. a. and n.","eloquor, locutus sum, 3, dep. a. and n.","to speak out; speak, 3.39.",1
"Helōrus, ī, m.","Helorus, i, m.","a river on the S. E. coast of Sicily, 3.698.",1
"ēlūdō, lūsī, lūsus, 3, n. and a.","eludo, lusi, lusus, 3, n. and a.","to play out; to mock, elude, 11.695; deceive, disappoint.",2
"ēluō, uī, ūtus, 3, a.","eluo, ui, utus, 3, a.","to wash out or away, 6.742.",1
"ēlysium, iī, n.","elysium, ii, n.","Elysium, the Elysian fields, the dwelling place set apart for the blessed in the lower world.",2
"ēmathiōn, ōnis, m.","emathion, onis, m.","a Trojan warrior, 9.571.",1
"ēmētior, mēnsus sum, 4, dep. a.","emetior, mensus sum, 4, dep. a.","to measure out or off, 10.772; pass over, traverse, 5.628.",4
"ēmicō, uī, ātus, 1, n.","emico, ui, atus, 1, n.","to leap, spring forth, 6.5; to dart, bound, or spring upward, 2.175; run, rush, dart forward, 5.319.",8
"ēmineō, uī, 2, n.","emineo, ui, 2, n.","to stand out, project, rise up, 10.227.",1
ēminus,eminus,"(adv.), from afar, at a distance, 10.346. (ē and manus)",9
"ēmittō, mīsī, missus, 3, a.","emitto, misi, missus, 3, a.","to send forth, 6.898; hurl, throw, shoot, 11.676.",5
"emō, ēmī, ēmptus, 3, a.","emo, emi, emptus, 3, a.","to buy, purchase, 10.503.",2
"ēmoveō, mōvī, mōtus, 2, a.","emoveo, movi, motus, 2, a.","to move off or away; throw off, start from, 2.493; dispel, relieve, 6.382; tear away, shatter, 2.610.",3
"ēmūniō, iī, ītus, 4, a.","emunio, ii, itus, 4, a.","to fortify; make strong, secure, 8.227.",1
ēn,en,"(interj.), lo! behold! with nom., 1.461; in indignation, 4.597.",17
"ēnārrābilis, e","enarrabilis, e","adj. (nārrō), that can be expressed or described, 8.625.",1
"Enceladus, ī, m.","Enceladus, i, m.","Enceladus, a giant, son of Caelus and Terra, 3.578; 4.179.",2
enim,enim,"causal conj., for, 1.198, et al; corroborative, truly, certainly, yes, aye, even, indeed; with pers. pron., precisely, directly, 8.84; nec enim, nor indeed, 2.100; sed enim, but indeed, however, 1.19.",39
"ēniteō, uī, 2, n.","eniteo, ui, 2, n.","to shine forth, 4.150; grow bright.",1
"ēnītor, nīxus or nīsus sum, 3, dep. n. and a.","enitor, nixus or nisus sum, 3, dep. n. and a.","to struggle forth or upward; to bring forth, bear offspring, 3.327.",4
"ēnō, āvī, ātus, 1, n. and a.","eno, avi, atus, 1, n. and a.","to swim out or away, (fig.), to fly away, 6.16.",1
"ēnsis, is, m.","ensis, is, m.","a sword, 2.393, et al.; knife, 2.155.",62
"Entellus, ī, m.","Entellus, i, m.","a Sicilian boxer, 5.387.",7
"ēnumerō, āvī, ātus, 1, a.","enumero, avi, atus, 1, a.","to count out or completely; enumerate, 4.334.",2
"eō, īvī or iī, itus, īre, irreg. n.","eo, ivi or ii, itus, ire, irreg. n.","to go; walk, come, 8.466; go forth, 2.578; depart, 2.111; issue, 4.130; advance, 12.903; move, appear, 4.149; ascend, 5.451; run down, flow, 9.434; hang, 5.558; enter upon, succeed to, inherit, 6.758; (w. cogn. acc.), to pursue, 4.468; (impers.), ītur, we, they, go, 9.641; p., iēns, euntis, going, etc., freq.",138
eōdem,eodem,"(adv.), to the same place, 9.689. (idem)",1
"eōus, a, um","eous, a, um","(adj.), belonging to the dawn, eastern, 1.489.",1
"Eōus, ī, m.","Eous, i, m.","Lucifer, the day star; the dawn, 3.588.",2
"Epēos, ī, m.","Epeos, i, m.","Epeius, a Greek architect, designer of the wooden horse, 2.264.",1
"ēpīros (ēpīrus), ī, f.","epiros (epirus), i, f.","Epirus, the country on the Adriatic coast, west of Thessaly and Macedon, now Albania, 3.292.",2
"epulae, ārum, f.","epulae, arum, f.","a banquet, feast, 1.79; food, 1.216. (sing. epulum)",11
"Epulō, ōnis, m.","Epulo, onis, m.","a Rutulian warrior, 12.459.",1
"epulor, ātus sum, 1, dep. n. and a.","epulor, atus sum, 1, dep. n. and a.","to banquet, feast, 4.207; w. abl., to banquet, feast upon, 3.224; w. acc., feast upon, 4.602. (epulae)",4
"ēpytidēs, ae, m.","epytides, ae, m.","son of Epytus, a follower of Aeneas, and master of the equestrian games, 5.547.",2
"ēpytus, ī, m.","epytus, i, m.","a Trojan, 2.340.",1
"equa, ae, f.","equa, ae, f.",a mare. (equus),2
"eques, itis, m.","eques, itis, m.","a horseman, 4.132; pl., cavalry, 12.408; sing. as collective, cavalry, 10.239. (equus)",18
"equester, tris, tre","equester, tris, tre","adj. (eques), pertaining to a horseman; equestrian, 5.667.",1
equidem,equidem,"(adv.), indeed, at least, certainly, surely; w. first person, for my part, 1.238. (demonstr. e or ec and quidem)",31
"equīnus, a, um","equinus, a, um","adj. (equus), pertaining to horses; horse hair, 9.622.",2
"equitātus, ūs, m.","equitatus, us, m.","the horse, cavalry, 8.585. (equitō)",1
"equitō, āvī, ātus, 1, a. and n.","equito, avi, atus, 1, a. and n.","to be a horseman; to ride, 10.885. (eques)",1
"equus, ī, m.","equus, i, m.","a horse, 1.156, et al.",128
"Eratō, f.","Erato, f.","the muse of love poetry; muse, in general, 7.37. (only in nom.)",1
"Erebus, ī, m.","Erebus, i, m.","the god of darkness, son of Chaos and brother of Night, 6.247; darkness; the lower world, 4.26, et al.",6
"Erētum, ī, n.","Eretum, i, n.","an ancient Sabine town, 7.711.",1
ergō,ergo,"(adv.), therefore; w. gen. (like causā), for the sake of, on account of, 6.670; in a question, 6.456.",39
"Ericētēs, ae, m.","Ericetes, ae, m.","a Lycaonian follower of Aeneas, 10.749.",1
"ēridanus, ī, m.","eridanus, i, m.","1. A Greek name of the river Po. 2. The river in the lower world which flows forth and forms the Po in the upper world, 6.659.",1
"ērigō, rēxī, rēctus, 3, a.","erigo, rexi, rectus, 3, a.","to raise up, rear, erect, 4.495; cast upward, 3.423. (ex and regō)",10
"Erīnys, yos, f.","Erinys, yos, f.","a fury, 2.337; pest, scourge, curse, 2.573.",4
"Eriphȳlē, es, f.","Eriphȳle, es, f.","the wife of Amphiaraus, slain by her son Alcmaeon, for her treachery to her husband, 6.445.",1
"ēripiō, uī, reptus, 3, a.","eripio, ui, reptus, 3, a.","to tear or pull away, freq.; w. the object from which in abl., w. prep. or without a prep.; or in the dat.; unsheath; draw, 4.579; snatch, 10.788; catch, 7.119; take away, 2.736; rescue, 1.596; bear safely, 2.665; hasten, 2.619; imperat., away! 3.560; (pass.), ēripī, escape, 12.948; ēripere sē, hasten, fly, 12.917. (ex and rapiō)",46
"errō, āvī, ātus, 1, n. and a.","erro, avi, atus, 1, n. and a.","to go astray, wander, 1.578; go to and fro, stray, 7.493; hover, 4.684; float, 3.76; to err, be uncertain, 7.498.",32
"error, ōris, m.","error, oris, m.","a wandering, 1.755; a winding maze, 5.591; mistake, error, 3.181; deception, 2.48. (errō)",10
"ērubēscō, rubuī, 3, inc. n. and a.","erubesco, rubui, 3, inc. n. and a.","to redden; to blush; feel shame before; to revere, respect, 2.542.",1
"ēructō, āvī, ātus, 1, n. and a.","eructo, avi, atus, 1, n. and a.","to belch out; to vomit, throw forth or out, 3.632; discharge, 6.297.",3
"ērudiō, īvī or iī, ītus, 4, a.","erudio, ivi or ii, itus, 4, a.","to redeem from roughness; to teach, instruct, 9.203. (ē and rudiō)",1
"ērumpō, rūpī, ruptus, 3, a. and n.","erumpo, rupi, ruptus, 3, a. and n.","to burst forth; burst, break through, 1.580; dash, dart forward, 10.890.",4
"ēruō, ī, tus, 3, a.","eruo, i, tus, 3, a.","to cast out or up; to overthrow, 2.5.",8
"Erycīnus, a, um","Erycinus, a, um","adj. (Eryx), pertaining to Eryx, Erycinian, 5.759.",2
"Erulus, ī, m.","Erulus, i, m.","king of Praeneste, and son of Feronia, said to have had three lives, and to have been killed by Evander, 8.563.",1
"Erymanthus, ī, m.","Erymanthus, i, m.","a mountain in Arcadia, 5.448.",2
"Erymās, antis, m.","Erymas, antis, m.","a Trojan slain by Turnus, 9.702.",1
"Eryx, ycis, m.","Eryx, ycis, m.","a mountain on the northwest coast of Sicily, 1.570. A Sicilian giant and king, son of Venus and Butes, and brother of Aeneas; slain by Hercules, 5.419.",10
"ēsca, ae, f.","esca, ae, f.","food, bait. (edō)",1
et,et,"(conj.), and, freq.; moreover, also, too, freq.; and even, and indeed; and yet; and immediately, 9.22; et — et, both — and, freq.",2 083
etenim,etenim,"(conj.), for, indeed, truly, 7.390.",1
etiam,etiam,"conj. (et emphasized by iam), and also, and besides; even, and even, freq.; for praeterea, besides, moreover, 11.352; of time, still, yet, even now, 6.485.",41
"Etrūria, ae, f.","Etruria, ae, f.",ancient Tuscany; Etruria.,2
"Etrūscus, a, um","Etruscus, a, um","adj. (Etrūria), Etrurian, Tuscan, 8.503; subst., Etrūscī, ōrum, m., the Etrurians, Tuscans, 9.150.",1
etsī,etsi,"(conj.), even if, although, though, 2.583.",2
"Evadnē, ēs, f.","Evadne, es, f.","Evadne, the wife of Capaneus, who cast herself on the funeral pile of her husband, 6.447.",1
"ēvādō, vāsī, vāsus, 3, n. and a.","evado, vasi, vasus, 3, n. and a.","to go out, forth, or up; ascend, 2.458; come in flight, 2.531; come forth from, w. the idea of danger surmounted; (w. acc.), to escape the dangers of, 2.731; escape, 5.689; 6.425; w. dat., 11.702; 9.99.",16
"ēvalēscō, valuī, 3, inc. n.","evalesco, valui, 3, inc. n.","to grow strong; be able, can; 7.757.",1
"Euander (-drus, 8.100; ēvander, -drus), drī, m.","Euander (-drus, 8.100; evander, -drus), dri, m.","Evander, an Arcadian prince, son of Carmentis, and king of Pallanteum on the Tiber, 8.52.",27
"Euandrius, a, um","Euandrius, a, um","of Evander, Evandrian, 10.394. (Euander)",1
"ēvānēscō, vānuī, 3, inc. n.","evanesco, vanui, 3, inc. n.","to disappear, vanish, 4.278.",2
"euhāns, antis, p. n. and a.","euhans, antis, p. n. and a.","crying Euhan! shrieking madly, celebrating, 6.517. (Evan or Euan, i.e. Bacchus)",1
"Euanthēs, ae, m.","Euanthes, ae, m.","a Trojan warrior, 10.702.",1
"Euboicus, a, um","Euboicus, a, um","(adj.), of Euboea, an island on the eastern coast of Greece; Euboean, 6.2.",4
"ēvehō, vexī, vectus, 3, a.","eveho, vexi, vectus, 3, a.","to carry forth; carry up, raise, elevate, 6.130.",1
"ēveniō, vēnī, ventus, 4, n.","evenio, veni, ventus, 4, n.","to come out; come to pass, happen, 2.778.",1
"ēventus, ūs, m.","eventus, us, m.","an outcome, issue, result, event, fortune, 6.158. (ēveniō)",4
"ēverberō, āvī, ātus, 1, a.","everbero, avi, atus, 1, a.","to beat violently, strike, flap upon, 12.866.",1
"ēversor, ōris, m.","eversor, oris, m.","an over-thrower, destroyer, 12.545. (ēvertō)",1
"ēvertō, vertī, versus, 3, a.","everto, verti, versus, 3, a.","to upturn, 1.43; overthrow, demolish, destroy, 2.603.",8
"ēvinciō, vinxī, vinctus, 4, a.","evincio, vinxi, vinctus, 4, a.","to bind round; crown, wreathe, 5.269; bind, 5.364.",5
"ēvincō, vīcī, victus, 3, a.","evinco, vici, victus, 3, a.","to conquer completely; overcome, 2.630; move, 4.548, et al.; bear down, sweep away, 2.497.",4
"ēviscerō, no perf., ātus, 1, a.","eviscero, no perf., atus, 1, a.","to disembowel, 11.723. (ē and viscus)",1
"Eumēdēs, is, m.","Eumedes, is, m.","a Trojan, 12.346.",1
"Eumēlus, ī, m.","Eumelus, i, m.","a Trojan, 5.665.",1
"Eumenides, um, f.","Eumenides, um, f.","the well-disposed; a deprecatory title given by the Greeks to the Furies; the Eumenides, the Furies, 4.469.",4
"Eunēus, ī, m.","Euneus, i, m.","a Trojan slain by Camilla, 11.666.",1
"ēvocō, āvī, ātus, 1, a.","evoco, avi, atus, 1, a.","to call out or forth; summon, conjure, 4.242.",2
euhoe (dissyll.),euhoe (dissyll.),"(interj.), a joyous Bacchanalian shout), evoe! joy! 7.389.",1
"ēvolō, āvī, ātus, 1, n.","evolo, avi, atus, 1, n.","to fly away, 9.477.",2
"ēvolvō, volvī, volūtus, 3, a.","evolvo, volvi, volutus, 3, a.","to roll out or forth, 5.807; unroll a scroll or volume; hence, (fig.), reveal, declare, 9.528.",2
"ēvomō, uī, itus, 3, a.","evomo, ui, itus, 3, a.","to vomit out or up, 8.253.",1
"Euphrātēs, is, m.","Euphrates, is, m.",the Euphrates.,1
"Eurōpa, ae, f.","Europa, ae, f.","1. Europa, the daughter of Agenor, king of Phoenicia, borne by Jupiter over the sea to Crete. 2. Europe, 1.385.",3
"Eurōtās, ae, m.","Eurotas, ae, m.","the Eurotas; the river on which Sparta was situated, 1.498.",1
"Eurōus, a, um","Eurous, a, um","adj. (Eurus), pertaining to Eurus, the southeast wind; eastern, 3.533.",1
"Eurus, ī, m.","Eurus, i, m.","the southeast wind, 1.85, et al.; wind, 1.383, et al.",8
"Euryalus, ī, m.","Euryalus, i, m.","a Trojan youth among the followers of Aeneas, 5.294.",24
"Eurypylus, ī, m.","Eurypylus, i, m.","a Thessalian prince, one of the Greek chiefs at Troy, 2.114.",1
"Eurystheus (trisyll.), eī, m.","Eurystheus (trisyll.), ei, m.","the king of Mycenae, who assigned to Hercules the twelve labors, 8.292.",1
"Eurytidēs, ae, m.","Eurytides, ae, m.","the son of Eurytus, 10.499. (Eurytus)",1
"Eurytiōn, ōnis, m.","Eurytion, onis, m.","brother of the Lycian archer Pandarus, and follower of Aeneas, 5.495.",3
ex or ē,ex or e,"(prep. w. abl.), out of from; of place, 3.554, and freq; down from, 2.410; of source, material, of, 5.266; (partitive), of, 2.659; (of time), after, from, since, 1.623; (of transition from one condition to another), 10.221; (of correspondence), in, 1.456; according to, after, 5.244; with, 8.621; ex eō, illō, quō (tempore), from that, from which, what, time; since, 8.268.",131
"exigō, ēgī, āctus, 3, a.","exigo, egi, actus, 3, a.","to drive out or work out; drive through, thrust, 10.682; drive, 2.357; investigate, examine, ascertain, 1.309; weigh, consider, determine, 4.476; fulfill; finish, complete, 6.637; of time, spend, pass, 1.75; p. subst., exācta, ōrum, discoveries, 1.309. (ex and agō)",1
"exaestuō, āvī, ātus, 1, n.","exaestuo, avi, atus, 1, n.","to boil up, foam up, rage, 3.577; to be agitated, to burn, 9.798.",2
"exāmen, inis, n.","examen, inis, n.","1. A multitude; swarm, 7.67. 2. The tongue or indicator of the scales or balances; the index, 12.725. (ex and agō).",2
"exanimis, e, and exanimus, a, um","exanimis, e, and exanimus, a, um","adj. (ex and anima), breathless; lifeless, dead, 1.484; slain, 11.110; breathless with fear, terrified, 4.672.",7
"exanimō, āvī, ātus, 1, a.","exanimo, avi, atus, 1, a.","to deprive of life; p., exanimātus, a, um, without breath, breathless; disheartened; terrified, 5.805. (ex and anima)",1
"exārdēscō, ārsī, ārsus, 3, inc. n.","exardesco, arsi, arsus, 3, inc. n.","to begin to burn; (fig.), to be roused to anger; kindle, burn, 2.575; 5.172.",5
"exaudiō, īvī, or iī, ītus, 4, a.","exaudio, ivi, or ii, itus, 4, a.","to hear distinctly; hear, 1.219; catch the sound, hear from afar, 7.15; listen to, heed, 11.157.",5
"excēdō, cessī, cessus, 3, n.","excedo, cessi, cessus, 3, n.","to go out or away; depart, 6.737; flee from, 1.357; withdraw from, 5.380; retire, 9.789.",11
"excellēns, entis","excellens, entis","surpassing; beautiful, stately, 12.250.",1
"excidium, iī, n.","excidium, ii, n.","a complete cutting or tearing down; razing, demolition, destruction. (exscindō)",6
"excidō, cidī, 3, n.","excido, cidi, 3, n.","to fall out; fall from; drop, come from, 2.658; come down, descend, 9.113; depart, 1.26. (ex and cadō)",6
